City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
93,Mar Del Plata,AR,67.87,overcast clouds,-38.0023,-57.5575,
95,Vredendal,ZA,78.4,overcast clouds,-31.6683,18.5012,
97,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,
102,Daru,PG,78.89,overcast clouds,-9.0763,143.2092,
104,Cockburn Town,TC,75.56,overcast clouds,21.4612,-71.1419,
106,Badulla,LK,67.91,broken clouds,6.9895,81.0557,
108,Kununurra,AU,84.18,overcast clouds,-15.7667,128.7333,
110,Gabriel Leyva Solano,MX,69.62,clear sky,25.6667,-108.6417,
111,Bluff,NZ,72.81,overcast clouds,-46.6,168.3333,
116,Keti Bandar,PK,70.95,clear sky,24.1447,67.4497,
118,Yaan,NG,77.63,overcast clouds,7.3833,8.5667,
120,Da Nang,VN,69.78,broken clouds,16.0678,108.2208,
124,Farafangana,MG,74.08,scattered clouds,-22.8167,47.8333,
126,Shakawe,BW,66.16,light rain,-18.3667,21.85,
127,Miri,MY,78.94,light rain,4.4148,114.0089,
128,Namatanai,PG,84.15,light rain,-3.6667,152.4333,
132,New Norfolk,AU,80.91,clear sky,-42.7826,147.0587,
134,Portobelo,PA,78.04,few clouds,9.55,-79.65,
137,Chuy,UY,70.63,clear sky,-33.6971,-53.4616,
138,Kavieng,PG,83.14,light rain,-2.5744,150.7967,
141,Nelson Bay,AU,86.76,overcast clouds,-32.7167,152.15,
142,Nicoya,CR,78.35,clear sky,10.1483,-85.452,
144,Hambantota,LK,75.33,few clouds,6.1241,81.1185,
149,Balikpapan,ID,77.99,moderate rain,-1.2675,116.8289,
151,Terre-De-Bas,GP,72.91,clear sky,15.8501,-61.6442,
153,Ahipara,NZ,75.83,light rain,-35.1667,173.1667,
154,Auki,SB,86.45,overcast clouds,-8.7676,160.7034,
155,Presidencia Roque Saenz Pena,AR,76.01,clear sky,-26.7852,-60.4388,
157,Kapit,MY,76.51,overcast clouds,2.0167,112.9333,
161,Port Lincoln,AU,73.02,clear sky,-34.7333,135.8667,
167,Progreso,MX,69.12,clear sky,21.2833,-89.6667,
175,Moche,PE,66.38,broken clouds,-8.1711,-79.0092,
176,Takoradi,GH,78.04,few clouds,4.8845,-1.7554,
177,Yagoua,CM,65.14,clear sky,10.3411,15.2329,
182,Salalah,OM,68.09,clear sky,17.0151,54.0924,
183,Batemans Bay,AU,85.19,overcast clouds,-35.7167,150.1833,
184,Praia,CV,70.34,broken clouds,14.9215,-23.5087,
186,Pocone,BR,72.73,overcast clouds,-16.2567,-56.6228,
191,Anapolis,BR,70.27,scattered clouds,-16.3267,-48.9528,
195,Faanui,PF,81.0,clear sky,-16.4833,-151.75,
202,Tak Bai,TH,79.29,broken clouds,6.2595,102.0546,
203,Tuatapere,NZ,72.82,broken clouds,-46.1333,167.6833,
